DBXT IBOXX US TREAS ETF 5;KF7 
DBXT MSCI ASIA EX JAPAN ETF 10;IH1 
DBXT MSCI ASIA EXJAP HDY ETF10;N2F 
DBXT MSCI ASIAPAC EXJAP ETF 10;O9B 
DBXT MSCI BANGLADESH IM ETF 10;O9C 
DBXT MSCI BRAZIL TRN ETF 10;J0O 
DBXT MSCI CHINA TRN ETF 10;LG9 
DBXT MSCI EMERGING MKTS ETF 10;J0M 
DBXT MSCI EMG MKTS ASIA ETF 10;J0N 
DBXT MSCI EUROPE ETF 10;IH3 
DBXT MSCI INDIA TRN ETF 10;LG8 
DBXT MSCI INDONESIA ETF 10;KJ7 
DBXT MSCI JAPAN TRN ETF 10;LF2 
DBXT MSCI KOREA ETF 10;IH2 
DBXT MSCI MALAYSIA TRN ETF 10;LG6 
DBXT MSCI PACIFIC EXJAP ETF 10;J0Q 
DBXT MSCI PAKISTAN IM ETF 10;O9D 
DBXT MSCI PHILIPPINES ETF 10;N2E 
DBXT MSCI RUSSIA CAP 25 ETF 10;J0R 
DBXT MSCI SINGAPORE IM ETF 10;O9A 
DBXT MSCI TAIWAN ETF 10;HD7 
DBXT MSCI THAILAND TRN ETF 10;LG7 
DBXT MSCI USA ETF 10;KF8 
DBXT MSCI WORLD TRN ETF 10;J0P 
DBXT NIFTY50 ETF 10;HE0 
DBXT S&P 500 DAILY -1X INVERSE;HD6 
DBXT S&P/ASX 200 ETF 10;LF1 
DBXT S&P500 ETF 10;K6K 
DBXT STOXX GLOB DIV 100 ETF 10;KT3 
DBXT USD CASH ETF 5;IH4 
DBXT USD IG INFL TREAS ETF 5;KF5 
DEBAO PROPERTY DEVELOPMENT LTD;BTF 
DECLOUT LIMITED;5UZ 
DEL MONTE PACIFIC LIMITED;D03 
DELFI LIMITED;P34 
DELONG HOLDINGS LIMITED;BQO 
DESIGN STUDIO GROUP LTD.;D11 
DISA LIMITED;532 
DISA LIMITED W170802;42BW
DMX TECHNOLOGIES GROUP LTD;5CH 
DOOSAN INFRACORE GDR A;TK4 
DOOSAN INFRACORE GDR R;TK3 
DRAGON GROUP INTL LIMITED;MT1 
DUKANG DISTILLERS HLDGS LTD;BKV 
DUTECH HOLDINGS LIMITED;CZ4 
DUTY FREE INTERNATIONALLIMITED;5SO 
DUTY FREE INTERNATIONALW220513;CHBW
DYNA-MAC HOLDINGS LTD.;NO4 
DYNAMIC COLOURS LIMITED;D6U 
EC WORLD REIT;BWCU
ECOWISE HOLDINGS LIMITED;5CT 
EDITION LTD.;5HG 
EINDEC CORPORATION  W190822;1A5W
EINDEC CORPORATION LIMITED;42Z 
ELEC & ELTEK INT CO LTD;E16 
ELLIPSIZ LTD;BIX 
EMAS OFFSHORE LIMITED;UQ4 
EMERGING TOWNS&CITIES SING LTD;1C0 
EMS ENERGY LIMITED;42O 
ENGRO CORPORATION LIMITED;S44 
ENVICTUS INTERNATIONAL HLDGLTD;BQD 
ENVIRO-HUB HOLDINGS LTD;L23 
EPICENTRE HOLDINGS LIMITED;5MQ 
ERATAT LIFESTYLE LIMITED;FO8 
ES GROUP (HOLDINGS) LIMITED;5RC 
EUROPTRONIC GROUP LTD;E23 
EUROSPORTS GLOBAL LIMITED;5G1 
EXCELPOINT TECHNOLOGY LTD;BDF 
EZION HOLDINGS LIMITED;5ME 
EZION HOLDINGS W200424;BSHW
EZRA HOLDINGS LIMITED;5DN 
F J BENJAMIN HOLDINGS LTD;F10 
FABCHEM CHINA LIMITED;BFT 
FALCON ENERGY GROUP LIMITED;5FL 
FAR EAST GROUP LIMITED;5TJ 
FAR EAST HOSPITALITY TRUST;Q5T 
FAR EAST ORCHARD LIMITED;O10 
FCL TREA S$500M3.65%B220522;AXXZ
FEDERAL INT(2000) LTD;BDU 
FIBRECHEM TECHNOLOGIES LIMITED;F12 
FIBRECHEM TECHNOLOGIES NCPS;DK2 
FIGTREE HOLDINGS LIMITED;5F4 
FIRST REAL ESTATE INV TRUST;AW9U
FIRST RESOURCES LIMITED;EB5 
FIRST SHIP LEASE TRUST;D8DU
FIRST SPONSOR GROUP LIMITED;ADN 
FISCHER TECH LTD;BDV 
FOOD EMPIRE HOLDINGS LIMITED;F03 
FORELAND FABRICTECH HLDS LTD;B0I 
FORISE INTERNATIONAL LIMITED;I5H 
FORTUNE REAL ESTATE INV TRUST;F25U
FRAGRANCE GROUP LIMITED;F31 
FRASER AND NEAVE, LIMITED;F99 
FRASERS CENTREPOINT LIMITED;TQ5 
FRASERS CENTREPOINT TRUST;J69U
FRASERS COMMERCIAL TRUST;ND8U
FRASERS HOSPITALITY TRUST;ACV 
FRASERS LOGISTICS & IND TRUST;BUOU
FRASERS LOGISTICS&IND TRUSTAUD;BWQU
FRENCKEN GROUP LIMITED;E28 
FU YU CORPORATION LTD;F13 
FUJI OFFSET PLATES MFG LTD;508 
FUJIAN ZHENYUN PLAS IND CO LTD;5KT 
FULL APEX (HOLDINGS) LIMITED;BTY 
FUNG CHOI MEDIA GROUP LIMITED;F11 
FUXING CHINA GROUP LIMITED;AWK 
G. K. GOH HOLDINGS LIMITED;G41 
GALLANT VENTURE LTD.;5IG 
GAYLIN HOLDINGS LIMITED;RF7 
GCCP RESOURCES LIMITED;41T 
GDS GLOBAL LIMITED;5VP 
GENTING HONG KONG LIMITED;S21 
GENTING SINGAPORE PLC;G13 
GENTING SPS$500M5.125% PERPSEC;P9GZ
GEO ENERGY RESOURCES LIMITED;RE4 
GKE CORPORATION LIMITED;595 
GL LIMITED;B16 
GLOBAL INVACOM GROUP LIMITED;QS9 
GLOBAL INVESTMENTS LIMITED;B73 
GLOBAL LOGISTIC PROP LIMITED;MC0 
GLOBAL MASTERS FUND;CH9 
GLOBAL PALM RESOURCES HLGS LTD;BLW 
GLOBAL PREMIUM HOTELS LIMITED;P9J 
GLOBAL TECH (HLDGS) LIMITED;G11 
GLOBAL TESTING CORPORATION LTD;AYN 
GLOBAL YELLOW PAGES LIMITED;AWS 
GLOBAL YELLOW PAGES W190625;AWUW
GOLDEN AGRI-RESOURCES LTD;E5H 
GOLDEN ENERGY AND RESOURCESLTD;AUE 
GOODLAND GROUP LIMITED;5PC 
GP BATTERIES INT LTD;G08 
GP INDUSTRIES LIMITED;G20 
GRAND BANKS YACHTS LIMITED;G50 
GREAT EASTERN HLDGS LTD;G07 
GREEN BUILD TECHNOLOGY LIMITED;Y06 
GRP LTD;BLU 
GRP LTD W171129;CAMW
GS HOLDINGS LIMITED;43A 
GSH CORPORATION LIMITED;BDX 
GSS ENERGY LIMITED;41F 
GUOCOLAND LIMITED;F17 
HAFARY HOLDINGS LIMITED;5VS 
HAI LECK HOLDINGS LIMITED;BLH 
HAI LECK HOLDINGS W180105;BLJW
HAI LECK HOLDINGS W190513;BLIW
HALCYON AGRI CORPORATION LTD;5VJ 
HANWELL HOLDINGS LIMITED;DM0 
HANWHA CHEMICAL CORP GDR A;U7Q 
HANWHA CHEMICAL CORP GDR R;U7R 
HATTEN LAND LIMITED;PH0 
HAW PAR CORP LTD;H02 
HC SURGICAL SPECIALISTSLIMITED;1B1 
HEALTH MANAGEMENT INTL LTD;588 
HEALTHWAY MEDICAL CORP LTD;5NG 
HEATEC JIETONG HOLDINGS LTD.;5OR 
HEETON HOLDINGS LIMITED;5DP 
HENGXIN TECHNOLOGY LTD.;I85 
HENGYANG PETROCHEM LOG LIMITED;5PD 
HG METAL MANUFACTURING LTD;BTG 
HI-P INTERNATIONAL LIMITED;H17 
HIAP HOE LIMITED;5JK 
HIAP SENG ENGINEERING LTD;510 
HIAP TONG CORPORATION LTD.;5PO 
HL GLOBAL ENTERPRISES LIMITED;AVX 
HLH GROUP LIMITED;H27 
HO BEE LAND LIMITED;H13 
HOCK LIAN SENG HOLDINGS LTD;J2T 
HOE LEONG CORPORATION LTD.;H20 
HONG FOK CORPORATION LTD;H30 
HONG LEONG ASIA LTD.;H22 
HONG LEONG FINANCE LIMITED;S41 
HONGKONG LAND HOLDINGS LIMITED;H78 
HOR KEW CORPORATION LIMITED;BBP 
HOSEN GROUP LTD;5EV 
HOTEL GRAND CENTRAL LTD;H18 
HOTEL PROPERTIES LTD;H15 
HOTEL ROYAL LTD;H12 
HOTUNG INVESTMENT HLDGS LTD;BLS 
HSBC ADR 10;PU6D
HSCEI 10000 UB EPW170629;CEXW
HSCEI 11200 UB ECW170629;CEWW
HSI 23000 MB EPW170629;CGLW
HSI 23200 UB EPW170629;CEVW
