P8A;CORDLIFE GROUP LIMITED        
C41;CORTINA HOLDINGS LIMITED      
F83;COSCO SHIPPING INTL(S) CO. LTD
B9S;COSMOSTEEL HOLDINGS LIMITED   
ATL;COURAGE MARINE GROUP LIMITED  
RE2;COURTS ASIA LIMITED           
539;CPH LTD                       
C76;CREATIVE TECHNOLOGY LTD       
S6NU;CROESUS RETAIL TRUST          
C06;CSC HOLDINGS LTD              
BMNW;CSC HOLDINGS W201229          
544;CSE GLOBAL LTD                
K3RD;CTRIP.COM INTERNATIONAL ADR 10
ACW;CWG INTERNATIONAL LTD.        
C14;CWT LIMITED                   
D01;DAIRY FARM INT'L HOLDINGS LTD 
FP1;DAPAI INTL HLDG CO. LTD.      
BLR;DARCO WATER TECHNOLOGIES LTD  
CEDU;DASIN RETAIL TRUST            
BKW;DATAPULSE TECHNOLOGY LIMITED  
D05;DBS GROUP HOLDINGS LTD        
CAAW;DBS MB ECW170605              
CAIW;DBS MB ECW170612              
CBDW;DBS MB ECW170703              
CBJW;DBS MB ECW170710              
CBKW;DBS MB ECW171002              
CGQW;DBS MB ECW171016              
CBLW;DBS MB ECW171030              
CBMW;DBS MB ECW171101              
CABW;DBS MB EPW170605              
CAJW;DBS MB EPW170612              
CBEW;DBS MB EPW170703              
CBNW;DBS MB EPW171002              
CGXW;DBS MB EPW171016              
CBOW;DBS MB EPW171030              
MU7;DBS S$800M 4.7% NCPS          
KV5;DBXT AUD CASH ETF 5           
KV7;DBXT AUD CASH ETF SGD 5       
KV6;DBXT AUD CASH ETF USD 5       
K6Y;DBXT AUD SSA BONDS ETF 5      
KT4;DBXT CSI300 ETF 10            
KV8;DBXT EONIA TR ETF USD 5       
IH0;DBXT EURO STOXX 50 ETF 10     
HD8;DBXT FT CHINA 50 ETF 10       
HD9;DBXT FTSE VIETNAM ETF 10      
KV4;DBXT IBOXX SINGAPORE ETF 5    
KF6;DBXT IBOXX SOV EURO ETF 5     
KF7;DBXT IBOXX US TREAS ETF 5     
IH1;DBXT MSCI ASIA EX JAPAN ETF 10
N2F;DBXT MSCI ASIA EXJAP HDY ETF10
O9B;DBXT MSCI ASIAPAC EXJAP ETF 10
O9C;DBXT MSCI BANGLADESH IM ETF 10
J0O;DBXT MSCI BRAZIL TRN ETF 10   
LG9;DBXT MSCI CHINA TRN ETF 10    
J0M;DBXT MSCI EMERGING MKTS ETF 10
J0N;DBXT MSCI EMG MKTS ASIA ETF 10
IH3;DBXT MSCI EUROPE ETF 10       
LG8;DBXT MSCI INDIA TRN ETF 10    
KJ7;DBXT MSCI INDONESIA ETF 10    
LF2;DBXT MSCI JAPAN TRN ETF 10    
IH2;DBXT MSCI KOREA ETF 10        
LG6;DBXT MSCI MALAYSIA TRN ETF 10 
J0Q;DBXT MSCI PACIFIC EXJAP ETF 10
O9D;DBXT MSCI PAKISTAN IM ETF 10  
N2E;DBXT MSCI PHILIPPINES ETF 10  
J0R;DBXT MSCI RUSSIA CAP 25 ETF 10
O9A;DBXT MSCI SINGAPORE IM ETF 10 
HD7;DBXT MSCI TAIWAN ETF 10       
LG7;DBXT MSCI THAILAND TRN ETF 10 
KF8;DBXT MSCI USA ETF 10          
J0P;DBXT MSCI WORLD TRN ETF 10    
HE0;DBXT NIFTY50 ETF 10           
HD6;DBXT S&P 500 DAILY -1X INVERSE
LF1;DBXT S&P/ASX 200 ETF 10       
K6K;DBXT S&P500 ETF 10            
KT3;DBXT STOXX GLOB DIV 100 ETF 10
IH4;DBXT USD CASH ETF 5           
KF5;DBXT USD IG INFL TREAS ETF 5  
BTF;DEBAO PROPERTY DEVELOPMENT LTD
5UZ;DECLOUT LIMITED               
D03;DEL MONTE PACIFIC LIMITED     
P34;DELFI LIMITED                 
BQO;DELONG HOLDINGS LIMITED       
D11;DESIGN STUDIO GROUP LTD.      
532;DISA LIMITED                  
42BW;DISA LIMITED W170802          
5CH;DMX TECHNOLOGIES GROUP LTD    
TK4;DOOSAN INFRACORE GDR A        
TK3;DOOSAN INFRACORE GDR R        
MT1;DRAGON GROUP INTL LIMITED     
BKV;DUKANG DISTILLERS HLDGS LTD   
CZ4;DUTECH HOLDINGS LIMITED       
5SO;DUTY FREE INTERNATIONALLIMITED
CHBW;DUTY FREE INTERNATIONALW220513
NO4;DYNA-MAC HOLDINGS LTD.        
D6U;DYNAMIC COLOURS LIMITED       
BWCU;EC WORLD REIT                 
5CT;ECOWISE HOLDINGS LIMITED      
5HG;EDITION LTD.                  
1A5W;EINDEC CORPORATION  W190822   
42Z;EINDEC CORPORATION LIMITED    
E16;ELEC & ELTEK INT CO LTD       
BIX;ELLIPSIZ LTD                  
UQ4;EMAS OFFSHORE LIMITED         
1C0;EMERGING TOWNS&CITIES SING LTD
42O;EMS ENERGY LIMITED            
S44;ENGRO CORPORATION LIMITED     
BQD;ENVICTUS INTERNATIONAL HLDGLTD
L23;ENVIRO-HUB HOLDINGS LTD       
